Total Time,Pipeline1 Number of Comparisons,Pipeline2 Number of Comparisons,Output Comparisons,Parameter,BenchMark
0.4940333333,32580,126,76,false,Metric-x
0.4678333333,32580,126,76,false,Metric-x
0.4983,32580,126,76,false,Metric-x
0.4996166667,32580,126,76,false,Metric-x
0.49495,32580,126,76,false,Metric-x
0.4937833333,32580,126,76,false,Metric-x
0.4686666667,32580,126,76,false,Metric-x
0.4956666667,32580,126,76,false,Metric-x
0.4991333333,32580,126,76,false,Metric-x
0.48195,32580,126,76,false,Metric-x
0.4701666667,32580,126,76,false,Metric-x
0.5092,32580,126,76,false,Metric-x
0.4999666667,32580,126,76,false,Metric-x
0.47355,32580,126,76,false,Metric-x
4.6920333333,43056,580,0,true,Jasm
4.68515,43056,580,0,true,Jasm
4.7239166667,43056,580,0,true,Jasm
4.7412166667,43056,580,0,true,Jasm
4.7391333333,43056,580,0,true,Jasm
4.7897833333,43056,580,0,true,Jasm
4.8106166667,43056,580,0,true,Jasm
4.8297166667,43056,580,0,true,Jasm
4.8863333333,43056,580,0,true,Jasm
4.7157,43056,580,0,true,Jasm
4.73225,43056,580,0,true,Jasm
4.7498333333,43056,580,0,true,Jasm
4.7517166667,43056,580,0,true,Jasm
4.7649,43056,580,0,true,Jasm
4.7766333333,43056,580,0,true,Jasm
4.7939,43056,580,0,true,Jasm
4.8143666667,43056,580,0,true,Jasm
4.8191333333,43056,580,0,true,Jasm
4.84115,43056,580,0,true,Jasm
4.794,43056,580,0,true,Jasm
4.8513166667,43056,580,0,true,Jasm
4.8388166667,43056,580,0,true,Jasm
5.17485,43056,580,0,true,Jasm
5.0113833333,43056,580,0,true,Jasm
4.9839666667,43056,580,0,true,Jasm
5.0825333333,43056,580,0,true,Jasm
5.09995,43056,580,0,true,Jasm
5.1252833333,43056,580,0,true,Jasm
5.2511166667,43056,580,0,true,Jasm
5.28665,43056,580,0,true,Jasm
0.3593666667,43056,580,56,false,Jasm
0.3589166667,43056,580,56,false,Jasm
0.3579833333,43056,580,56,false,Jasm
0.3612666667,43056,580,56,false,Jasm
0.3633666667,43056,580,56,false,Jasm
0.3641333333,43056,580,56,false,Jasm
0.3658333333,43056,580,56,false,Jasm
0.36175,43056,580,56,false,Jasm
0.3656166667,43056,580,56,false,Jasm
0.3635833333,43056,580,56,false,Jasm
0.3648333333,43056,580,56,false,Jasm
0.3673833333,43056,580,56,false,Jasm
0.3684833333,43056,580,56,false,Jasm
0.3662666667,43056,580,56,false,Jasm
0.3647666667,43056,580,56,false,Jasm
0.3646,43056,580,56,false,Jasm
0.36925,43056,580,56,false,Jasm
0.3683333333,43056,580,56,false,Jasm
0.3709833333,43056,580,56,false,Jasm
0.3667166667,43056,580,56,false,Jasm
0.3736833333,43056,580,56,false,Jasm
0.3751333333,43056,580,56,false,Jasm
0.36515,43056,580,56,false,Jasm
0.3783666667,43056,580,56,false,Jasm
0.3777333333,43056,580,56,false,Jasm
0.3656833333,43056,580,56,false,Jasm
0.3863666667,43056,580,56,false,Jasm
0.3633833333,43056,580,56,false,Jasm
0.4006833333,43056,580,56,false,Jasm
0.3651333333,43056,580,56,false,Jasm
3.0784,10302,0,0,true,Imcache
2.9577333333,10302,0,0,true,Imcache
3.0975166667,10302,0,0,true,Imcache
3.2575,10302,0,0,true,Imcache
3.2993166667,10302,0,0,true,Imcache
3.20105,10302,0,0,true,Imcache
3.3013,10302,0,0,true,Imcache
3.1465333333,10302,0,0,true,Imcache
3.2148,10302,0,0,true,Imcache
3.2011666667,10302,0,0,true,Imcache
3.218,10302,0,0,true,Imcache
3.2208833333,10302,0,0,true,Imcache
3.34365,10302,0,0,true,Imcache
3.5416166667,10302,0,0,true,Imcache
3.5010666667,10302,0,0,true,Imcache
3.5109,10302,0,0,true,Imcache
3.50665,10302,0,0,true,Imcache
3.5368333333,10302,0,0,true,Imcache
3.5116666667,10302,0,0,true,Imcache
3.4921166667,10302,0,0,true,Imcache
3.5245333333,10302,0,0,true,Imcache
3.5352,10302,0,0,true,Imcache
3.5317,10302,0,0,true,Imcache
3.17585,10302,0,0,true,Imcache
2.9661333333,10302,0,0,true,Imcache
2.9633333333,10302,0,0,true,Imcache
2.9878,10302,0,0,true,Imcache
3.06715,10302,0,0,true,Imcache
3.0829,10302,0,0,true,Imcache
3.1594833333,10302,0,0,true,Imcache
2.6901833333,10302,0,0,false,Imcache
2.7726833333,10302,0,0,false,Imcache
2.7794833333,10302,0,0,false,Imcache
2.8589,10302,0,0,false,Imcache
2.8631166667,10302,0,0,false,Imcache
2.86835,10302,0,0,false,Imcache
2.86065,10302,0,0,false,Imcache
2.9608333333,10302,0,0,false,Imcache
2.9743166667,10302,0,0,false,Imcache
2.9691166667,10302,0,0,false,Imcache
2.8841666667,10302,0,0,false,Imcache
2.7172833333,10302,0,0,false,Imcache
2.7368333333,10302,0,0,false,Imcache
2.8731,10302,0,0,false,Imcache
2.8856833333,10302,0,0,false,Imcache
2.8955666667,10302,0,0,false,Imcache
2.9062666667,10302,0,0,false,Imcache
2.97365,10302,0,0,false,Imcache
2.9544166667,10302,0,0,false,Imcache
2.9616833333,10302,0,0,false,Imcache
2.9409833333,10302,0,0,false,Imcache
2.9764666667,10302,0,0,false,Imcache
2.9838166667,10302,0,0,false,Imcache
2.97185,10302,0,0,false,Imcache
2.9623833333,10302,0,0,false,Imcache
3.1062833333,10302,0,0,false,Imcache
2.95805,10302,0,0,false,Imcache
2.8933333333,10302,0,0,false,Imcache
2.9582666667,10302,0,0,false,Imcache
2.9683166667,10302,0,0,false,Imcache
2.4953833333,1190,244,40,true,Ant
2.4934666667,1190,244,40,true,Ant
2.4039833333,1190,244,40,true,Ant
2.5042166667,1190,244,40,true,Ant
2.50415,1190,244,40,true,Ant
2.528,1190,244,40,true,Ant
2.48485,1190,244,40,true,Ant
2.7676666667,1190,244,40,true,Ant
2.7559,1190,244,40,true,Ant
2.62595,1190,244,40,true,Ant
2.4605,1190,244,40,true,Ant
2.64175,1190,244,40,true,Ant
2.49665,1190,244,40,true,Ant
2.7525666667,1190,244,40,true,Ant
2.5871,1190,244,40,true,Ant
2.75955,1190,244,40,true,Ant
2.4313666667,1190,244,40,true,Ant
2.7526833333,1190,244,40,true,Ant
2.5086666667,1190,244,40,true,Ant
2.7486666667,1190,244,40,true,Ant
2.7675,1190,244,40,true,Ant
2.4889833333,1190,244,40,true,Ant
2.7649,1190,244,40,true,Ant
2.7498166667,1190,244,40,true,Ant
2.5116833333,1190,244,40,true,Ant
2.52205,1190,244,40,true,Ant
2.7497166667,1190,244,40,true,Ant
2.7783,1190,244,40,true,Ant
2.5459666667,1190,244,40,true,Ant
2.4089833333,1190,244,40,true,Ant
1.6555166667,1190,244,64,false,Ant
1.6166833333,1190,244,64,false,Ant
1.6898333333,1190,244,64,false,Ant
1.62875,1190,244,64,false,Ant
1.70005,1190,244,64,false,Ant
1.6482166667,1190,244,64,false,Ant
1.7236,1190,244,64,false,Ant
1.69265,1190,244,64,false,Ant
1.6768833333,1190,244,64,false,Ant
1.68325,1190,244,64,false,Ant
1.61195,1190,244,64,false,Ant
1.63995,1190,244,64,false,Ant
1.6855833333,1190,244,64,false,Ant
1.6652833333,1190,244,64,false,Ant
1.7052,1190,244,64,false,Ant
1.6598833333,1190,244,64,false,Ant
1.6452,1190,244,64,false,Ant
1.7272833333,1190,244,64,false,Ant
1.6484833333,1190,244,64,false,Ant
1.7213166667,1190,244,64,false,Ant
1.7326666667,1190,244,64,false,Ant
1.731,1190,244,64,false,Ant
1.6884666667,1190,244,64,false,Ant
1.6497833333,1190,244,64,false,Ant
1.7280833333,1190,244,64,false,Ant
1.7257,1190,244,64,false,Ant
1.7307333333,1190,244,64,false,Ant
1.7109,1190,244,64,false,Ant
1.6462833333,1190,244,64,false,Ant
1.7100166667,1190,244,64,false,Ant
